open,high,low,close,tick_volume,spread,real_volume,ema_12,ema_26,macd,signal_line,adx,ichimoku_leading_span_a,ichimoku_leading_span_b
1.0768,1.07686,1.0762,1.07631,1080,0,0,1.07631,1.07631,0.0,0.0,0.0,1.07177,1.07268
1.07631,1.07723,1.0762,1.07713,1369,0,0,1.076436153846154,1.0763707407407408,6.541310541319234e-05,1.3082621082638469e-05,0.0,1.07177,1.07268
1.07718,1.0779,1.07661,1.07708,2131,0,0,1.0765352071005918,1.076423278463649,0.0001119286369428,3.285182425468492e-05,0.0,1.07177,1.07268
1.07712,1.0776,1.07602,1.07621,2955,0,0,1.0764851752389624,1.076407480058934,7.769518002831433e-05,4.18204954094108e-05,0.0,1.07177,1.07268
1.07619,1.07772,1.07602,1.07743,2229,0,0,1.0766305328945067,1.0764832222767908,0.0001473106177158,6.291851987070665e-05,0.0,1.07177,1.07268
1.07743,1.0777,1.07603,1.07673,2345,0,0,1.076645835526121,1.0765015021081397,0.0001443334179813,7.920149949283897e-05,0.0,1.07177,1.07268
1.07672,1.0775,1.07656,1.07673,1829,0,0,1.076658783906718,1.0765184278779072,0.0001403560288106,9.1432405356408e-05,0.0,1.07177,1.07268
1.07674,1.07694,1.07577,1.07577,1809,0,0,1.0765220479210689,1.07646298877584,5.9059145228967935e-05,8.495775333092e-05,0.0,1.07177,1.07268
1.07577,1.07673,1.07347,1.07474,4935,0,0,1.0762478867024428,1.0763353599776295,-8.747327518676684e-05,5.047154762738264e-05,0.0,1.07177,1.07268
1.0748,1.0771,1.07404,1.07422,4647,0,0,1.0759359041328362,1.0761786666459532,-0.0002427625131169,-8.175264521482953e-06,0.0,1.07177,1.07268
1.07426,1.07498,1.07213,1.07234,4462,0,0,1.0753826881123998,1.075894320968475,-0.0005116328560752,-0.0001088667828322,0.0,1.07177,1.07268
1.07235,1.07298,1.07176,1.07232,2768,0,0,1.0749115053258766,1.0756295564522915,-0.000718051126415,-0.0002307036515488,0.0,1.07177,1.07268
1.07232,1.07236,1.07086,1.07101,1846,0,0,1.0743112737372802,1.0752873670854552,-0.000976093348175,-0.000379781590874,0.0,1.07177,1.07268
1.07102,1.07158,1.07075,1.07102,1662,0,0,1.0738049239315448,1.074971265819866,-0.0011663418883212,-0.0005370936503634,0.0,1.07177,1.07268
1.07102,1.07153,1.07058,1.07124,1707,0,0,1.073410320249769,1.0746948757591352,-0.0012845555093665,-0.0006865860221641,0.0,1.07177,1.07268
1.07124,1.07144,1.07065,1.07079,1123,0,0,1.0730071940574966,1.074405625702903,-0.0013984316454065,-0.0008289551468125,0.0,1.07177,1.07268
1.07079,1.07087,1.07054,1.07073,579,0,0,1.0726568565101893,1.0741333571323175,-0.0014765006221284,-0.0009584642418757,0.0,1.07177,1.07268
1.0711,1.0711,1.07053,1.07064,223,14,0,1.0723465708932371,1.0738745899373312,-0.001528019044094,-0.0010723752023194,0.0,1.07177,1.07268
1.07082,1.07083,1.07011,1.07011,769,0,0,1.0720024830635084,1.0735957314234548,-0.0015932483599463,-0.0011765498338448,0.0,1.07177,1.07268
1.07011,1.07018,1.06937,1.06968,1158,0,0,1.0716451779768148,1.0733056772439395,-0.0016604992671247,-0.0012733397205007,0.0,1.07177,1.07268
1.06969,1.06972,1.06904,1.06938,1614,0,0,1.0712966890573048,1.073014886336981,-0.0017181972796762,-0.0013623112323358,0.0,1.07177,1.07268
1.06939,1.07016,1.06909,1.07014,2107,0,0,1.0711187368946424,1.072801931793501,-0.0016831948988584,-0.0014264879656404,0.0,1.07177,1.07268
1.07014,1.07047,1.06986,1.07003,1282,0,0,1.0709512389108513,1.0725966035125007,-0.0016453646016494,-0.0014702632928422,0.0,1.07177,1.07268
1.07002,1.07042,1.06993,1.07027,1196,0,0,1.0708464329245666,1.0724242625115747,-0.0015778295870081,-0.0014917765516753,0.0,1.07177,1.07268
1.07024,1.07033,1.06966,1.07,983,0,0,1.0707162124746332,1.0722446875107174,-0.0015284750360842,-0.0014991162485571,0.0,1.07177,1.07268
1.06999,1.07038,1.0694,1.07014,1508,0,0,1.0706275644016128,1.072088784732146,-0.001461220330533,-0.0014915370649523,0.0,1.07177,1.07268
1.07012,1.07012,1.06893,1.06938,2273,0,0,1.0704356314167494,1.071888134011246,-0.0014525025944966,-0.0014837301708612,0.0,1.0716475,1.07268
1.06938,1.06994,1.06834,1.06899,3180,0,0,1.0702132265834032,1.0716734574178204,-0.0014602308344171,-0.0014790303035724,59.66761742734044,1.0712625,1.07268
1.06898,1.06978,1.06854,1.0696,2138,0,0,1.0701188840321103,1.0715198679794633,-0.0014009839473527,-0.0014634210323284,59.82984243682821,1.0712175000000002,1.07268
1.0696,1.06992,1.06901,1.06922,1912,0,0,1.0699805941810163,1.071349507388392,-0.0013689132073753,-0.0014445194673378,59.68761910775641,1.0712175000000002,1.07268
1.06923,1.06949,1.06869,1.06929,1490,0,0,1.0698743489223983,1.071196951285548,-0.0013226023631496,-0.0014201360465002,59.73222935670199,1.0712125,1.07268
1.06929,1.0695,1.0685,1.06897,1346,0,0,1.0697352183189526,1.0710319919310631,-0.0012967736121105,-0.0013954635596222,59.876150610716216,1.0711499999999998,1.07268
1.06897,1.06917,1.06746,1.06791,2543,0,0,1.0694544155006522,1.0708007332695029,-0.0013463177688506,-0.0013856344014679,60.48983036906219,1.0706000000000002,1.07268
1.06789,1.06914,1.06778,1.0681,2997,0,0,1.0692460438851672,1.0706006789532434,-0.0013546350680762,-0.0013794345347895,61.05967585895489,1.0706000000000002,1.07268
1.06806,1.07223,1.06806,1.07108,5466,0,0,1.069528190979757,1.0706361842159662,-0.0011079932362092,-0.0013251462750735,57.05104434236771,1.0710625,1.07268
1.07107,1.07208,1.07032,1.07207,2369,0,0,1.0699192385213327,1.0707423927925612,-0.0008231542712284,-0.0012247478743045,53.3287436483939,1.0705325,1.07268
1.07206,1.07213,1.071,1.07116,1552,0,0,1.070110124902666,1.0707733266597788,-0.0006632017571126,-0.0011124386508661,49.81964945205464,1.0700325,1.07268
1.07115,1.07141,1.07075,1.0713,1166,0,0,1.0702931826099482,1.0708123394997953,-0.000519156889847,-0.0009937822986623,46.81068085131795,1.0698775,1.07268
1.0713,1.07173,1.0711,1.07138,1503,0,0,1.0704603852853407,1.0708543884257362,-0.0003940031403955,-0.0008738264670089,43.64854276977782,1.069845,1.07268
1.07138,1.07175,1.07113,1.07125,1629,0,0,1.0705818644722114,1.0708836929867929,-0.0003018285145814,-0.0007594268765234,40.68875730685097,1.069845,1.07268
1.0713,1.07134,1.07097,1.07122,548,0,0,1.0706800391687945,1.0709086046174008,-0.0002285654486064,-0.00065325459094,38.12838182884583,1.069845,1.07268
1.07118,1.07136,1.0709,1.07116,335,5,0,1.070753879296672,1.0709272264975933,-0.0001733472009213,-0.0005572731129363,35.83600240638582,1.069925,1.07268
1.07132,1.07145,1.07096,1.07136,634,0,0,1.0708471286356456,1.070959283794068,-0.0001121551584224,-0.0004682495220335,33.578282266450266,1.069995,1.07268
1.07133,1.07144,1.07076,1.07115,823,0,0,1.0708937242301615,1.0709734109204332,-7.968669027147435e-05,-0.0003905369556811,31.749908790527968,1.070535,1.07268
1.07115,1.0717,1.071,1.07162,856,0,0,1.071005458963983,1.0710213064078085,-1.5847443825434127e-05,-0.0003155990533099,29.650983811726054,1.0706425,1.07268
1.07162,1.0717,1.07129,1.07157,1394,0,0,1.0710923114310626,1.0710619503776004,3.0361053462213405e-05,-0.0002464070319555,27.701982045695704,1.0705475,1.07268
